codigo_producto,nombre,descripcion_original,descripcion_mejorada,alias_propuestos,accion
89010025,Pineapple Chunks frozen 30 lb-Box 30 lb (1x30lb),"¡Descubre la frescura de la piña en cada bocado con nuestros Pineapple Chunks congelados! Este versátil producto ofrece un sabor tropical irresistible, ideal para smoothies, postres y snacks. Cada caja de 30 lb contiene 1 conveniente formato que facilitará tu inventario. Al tenerlo en tu mostrador, atraerás a clientes en busca de opciones saludables y deliciosas, aumentando así tus ventas por impulso. ¡Maximiza tu rentabilidad y satisface el antojo de tus consumidores con esta deliciosa opción!","Trozos de piña congelados IQF de 30 lb en caja, procesados para mantener su frescura y calidad. Ideal para la preparación de smoothies y postres.",trozos de piña|piña congelada|piña en cubos,ACTUALIZAR
736952201942,Spinach leaf 3lb BENFRESH,"Descubre la frescura y versatilidad de las hojas de espinaca Spinach Leaf 3lb BENFRESH, el aliado perfecto para tus platillos saludables. Presentado en cómodos empaques de 3 libras, ideal para minoristas que buscan ofrecer calidad. Este producto no solo atrae a los amantes de la cocina saludable, sino que también asegura una rápida rotación en tu mostrador. Atrae a un público consciente de su alimentación y disfruta de un margen atractivo en cada venta. ¡Hazlo parte de tu oferta!","Espinaca congelada IQF en hojas sueltas, presentada en bolsa de 3 lb, marca Benfresh. Producto 100% natural, sin OGM ni aditivos, ideal para la industria alimentaria, manteniendo las propiedades del producto fresco.",espinaca|spinach,ACTUALIZAR
74987455943,"Broccoli frozen 22,04 lb","Descubre el delicioso y nutritivo Broccoli Frozen, un aliado perfecto para tus clientes que buscan comida saludable y rápida. Presentado en un formato conveniente de 22,04 lb, ideal para abastecer tu negocio. Este producto no solo es versátil en la cocina, sino que también es atractivo para quienes buscan opciones saludables. Ofrece un excelente margen de ganancia y fomenta la compra por impulso, especialmente entre familias y jóvenes. ¡Aprovecha la tendencia de alimentos congelados y añade este producto a tu mostrador!","Brócoli congelado IQF en presentación de 22,04 lb, compuesto por floretes y tallos, ideal para preparación de platos y como complemento nutricional en comidas diarias.",brócoli|broccoli,ACTUALIZAR
89010005,Packing goods Box,"Descubre la versatilidad de **Packing Goods Box**, la solución ideal para tus necesidades de almacenamiento y organización. Cada caja viene en un práctico formato de 12 unidades, perfectas para exhibir en tu almacén o kiosco. Su diseño atractivo y funcional no solo atraerá a tus clientes, sino que también optimizará tu espacio. Con un excelente margen de ganancia y alta rotación, este producto es perfecto para compras por impulso, asegurando que tus ventas se disparen. ¡No dejes pasar esta oportunidad!","Caja de cartón corrugado para embalaje (packing goods), material de packaging B2B. No es un producto alimenticio.",caja de cartón|caja de embalaje|packing box,ACTUALIZAR
736952201683,"Spinach Leaf frozen 0,75lb BENFRESH","Descubre el delicioso sabor y la frescura inigualable de las hojas de espinaca congeladas BENFRESH. En un práctico formato de 0,75 lb, cada paquete ofrece una opción saludable y versátil para tus clientes, ideal para guisos, batidos o como acompañamiento. Con 12 unidades por display, maximiza tu espacio y atrae a un público que busca calidad y conveniencia. Aumenta tus ventas con un producto que promueve la compra por impulso, garantizando un margen atractivo para tu negocio. ¡No te quedes sin ellas!","Espinaca congelada IQF en hojas, presentada en empaque de 0.75 lb, marca Benfresh, ideal para uso en cocina y preparación de platos. Producto de alta calidad, manteniendo las propiedades nutricionales de la espinaca fresca.",espinaca|spinach,ACTUALIZAR
89090094,Pineapple chunk frozen 22 lb,"¡Descubre el sabor tropical con nuestros trozos de piña congelados de 22 lb! Perfectos para batidos, postres o cócteles, estos deliciosos chunks son ideales para atraer a los amantes de lo exótico. Presentados en cajas de 22 lb, garantizan un abastecimiento óptimo para tu negocio. Su versatilidad y frescura impulsan las compras por impulso, ofreciendo un excelente margen de ganancia. Colócalos en tu mostrador y deleita a tus clientes con esta opción refrescante y nutritiva, perfecta para toda la familia.","Trozos de piña congelados IQF en presentación de 22 lb, pre-cortados para facilitar su uso, preservando la frescura y calidad de la fruta. Ideal para uso en repostería, batidos y ensaladas.",piña|trozos de piña|chunks de piña,ACTUALIZAR
89010020,Blackberries frozen 30 lb,"Descubre la frescura y el sabor de las Blackberries Frozen, perfectas para deleitar a tus clientes en cualquier momento. Presentadas en un práctico formato de 30 lb, cada bolsa está repleta de deliciosas moras congeladas, ideales para smoothies, postres y snacks. Su versatilidad y atractivo las convierten en un producto estrella en tu kiosco, fomentando compras por impulso. Con un excelente margen de rentabilidad, ¡mantén a tus clientes volviendo por más y disfruta de un rápido movimiento de inventario!","Moras (blackberries) congeladas IQF en presentación de 30 lb, individualmente congeladas para preservar frescura y textura, ideales para batidos, postres y repostería.",mora|blackberry|zarzamora,ACTUALIZAR
736952196002,Strawberries frozen 5 lb BENFRESH-Box 30 lb (6x5lb),"¡Descubre el irresistible sabor de las fresas congeladas BENFRESH! Perfectas para batidos, postres o simplemente como un snack refrescante, estas fresas son la tendencia que tus clientes buscan. Presentadas en una caja de 30 lb que incluye 6 bolsas de 5 lb, facilitan la reposición y almacenamiento. Su alta calidad asegura una rotación rápida en tu mostrador, ideal para compras por impulso. Ofrece a tus clientes un producto delicioso y atractivo que generará márgenes atractivos en tu negocio.","Fresas congeladas IQF, presentadas en caja de 30 lb (6x5 lb), marca Benfresh, ricas en vitaminas, minerales y antioxidantes, ideales para uso en repostería, batidos y postres.",fresas|frutillas,ACTUALIZAR
858000004739,Coconut Tropical Sorbet 3 gal,"Descubre el refrescante Coconut Tropical Sorbet, la delicia que transporta a tus clientes a una isla paradisíaca con cada cucharada. Presentado en un formato de 3 galones, este cremoso sorbete es ideal para kioscos y almacenes que buscan ofrecer un producto irresistible. Su frescura y sabor auténtico fomentan las compras por impulso, garantizando una alta rotación y un atractivo margen de ganancias. Atrae a amantes del helado y de lo tropical. ¡Incorpora esta joya en tu mostrador hoy mismo!","Sorbet de coco tropical de 3 galones, elaborado con crema de coco orgánica, puré de coco y jarabe de arroz orgánico, con adición de aceite MCT. Producto ideal para la elaboración de bowls y smoothies.",sorbete de coco|sorbete tropical|sorbete de fruta|coco,ACTUALIZAR
89090120,Passion fruit pulp 5 lb,"Descubre la irresistible pulpa de maracuyá de 5 lb, el secreto detrás de los sabores tropicales que conquistarán a tus clientes. Este formato práctico es perfecto para generar deliciosas bebidas y postres, atrayendo a los amantes de lo exótico. Cada caja incluye 4 unidades, ideal para tu negocio. Su alta rentabilidad y atractivo para la compra por impulso aseguran una rotación rápida en tu mostrador. ¡Aprovecha la tendencia de sabores tropicales y haz que tu kiosco destaque con esta delicia!","Pulpa de maracuyá congelada, presentada en bolsa de 5 lb, elaborada con 100% fruta real, con baja viscosidad y alta acidez, ideal para la preparación de cócteles, jugos y postres. Marca Benfresh.",maracuyá|fruta de la pasión,ACTUALIZAR
74987455859,Mix Berries frozen 10 lb (2x5lb),"Descubre el delicioso Mix Berries Frozen, una mezcla irresistible de fresas, arándanos y frambuesas que encantará a tus clientes. Este formato de 10 lb, dividido en dos bolsas de 5 lb, es perfecto para facilitar su uso y almacenamiento. Ideal para batidos, postres o como complemento en yogures, garantiza una alta rotación en tu tienda. Atrae a los amantes de la fruta fresca y saludable, maximizando tus márgenes de ganancia con cada venta por impulso. ¡No te quedes sin él!","Mezcla de frutas congeladas IQF de 10 lb (2x5 lb) que incluye fresas, arándanos, frambuesas y moras en proporciones iguales, garantizando calidad premium y sabor jugoso.",frutillas|arándanos|frambuesas|moras|berries,ACTUALIZAR
736952201751,"Broccoli Floret frozen 0,75lb BENFRESH","¡Descubre la frescura del brócoli con BROCCOLI FLORET de BENFRESH! Este delicioso brócoli congelado, por su formato de 0,75 lb, es perfecto para agregar un toque saludable a cualquier plato. Presentado en cajas de 12 unidades, es ideal para optimizar tu espacio y ofrecer a tus clientes una opción nutritiva y sabrosa. Su rápida preparación y versatilidad lo convierten en una compra por impulso, asegurando un excelente margen de ganancia y alta rotación en tu negocio. ¡Haz que tus ventas florezcan!","Brócoli congelado en floretes, presentado en bolsa de 0.75 lb, marca Benfresh, procesado mediante tecnología IQF para preservar frescura y nutrientes. Ideal para uso en comidas rápidas y saludables.",brócoli|broccoli,ACTUALIZAR
89010027,Passion Fruit with seeds Maracuya 22 lb,"¡Descubre el sabor auténtico de la maracuyá con nuestro Passion Fruit with seeds de 22 lb! Este producto, ideal para un refrescante jugo o postres exquisitos, atraerá a tus clientes por su frescura y versatilidad. Presentado en un formato de 22 lb, es perfecto para abastecer tu kiosco o almacén. Además, su atractivo sabor y tendencia saludable garantizan una alta rotación, impulsando las compras por impulso y ofreciendo un excelente margen de ganancia. ¡No dejes pasar esta oportunidad!","Pulpa de maracuyá con semillas, presentada en un empaque de 22 lb, ideal para la elaboración de jugos, cócteles y postres. Producto de alta calidad, sin aditivos ni conservantes.",maracuyá|fruta de la pasión,ACTUALIZAR
89090064,Onion Diced Frozen 20 lb,"Descubre la versatilidad de las Cebollas Dicenadas Congeladas de 20 lb, el complemento perfecto para realzar tus platillos. Este formato de 20 libras es ideal para negocios que buscan ahorro y frescura en la cocina. Con su fácil manejo y lista para usar, tus clientes disfrutarán de un sabor auténtico sin el trabajo de pelar y picar. Aumenta la rotación de tu mostrador, impulsando compras por impulso y asegurando un margen atractivo. ¡No dejes pasar esta oportunidad de maximizar tus ganancias!","Cebolla congelada en cubos (diced), presentada en bolsa de 20 lb, IQF, lista para cocinar en sopas, guisos y preparaciones industriales.",cebolla|cebolla en cubos|cebolla picada|onion diced,ACTUALIZAR
834641,BEAN BLACK DRY 50 lb,"Descubre el irresistible sabor de los frijoles negros secos BEAN BLACK DRY, un producto que está marcando tendencia en la cocina saludable. Presentado en un formato de 50 lb, ideal para abastecer tu negocio, este producto es perfecto para quienes buscan calidad y buen precio. Su alta demanda asegura una rotación constante, atrayendo a un público que prioriza la alimentación nutritiva. Ofrece márgenes atractivos y se convierte en una compra por impulso ideal para tu mostrador. ¡No te quedes sin ellos!","Frijoles negros secos (black beans dry), presentados en bolsa de 50 lb, legumbre para sopas, guisos y preparaciones B2B.",porotos negros|frijoles negros|habichuelas negras|black beans,ACTUALIZAR
736952196033,Papaya Chunk frozen IQF - Box 21 lb (7x3lb),"Descubre la frescura de la Papaya Chunk frozen IQF, un producto irresistible que deleitará a tus clientes con su sabor tropical y versatilidad en la cocina. Presentada en una caja de 21 lb (7 bolsas de 3 lb), es perfecta para satisfacer la demanda de smoothies, postres y ensaladas. Su atractivo formato fomenta la compra por impulso, ofreciendo un alto margen de ganancia. Ideal para el público que busca opciones saludables y prácticas, ¡asegúrate de tenerla en tu mostrador!","Papaya congelada IQF en trozos, presentada en caja de 21 lb (7x3 lb), ideal para batidos, postres y preparaciones tropicales.",papaya|papaya en trozos|papaya chunk,ACTUALIZAR
89090077,Baby Carrot 22.04lb,"Descubre el frescor y la dulzura de nuestras Baby Carrots, un snack saludable que conquista a grandes y pequeños. Presentamos un formato de 22.04 lb, ideal para abastecer tu negocio con 10 bolsas de 2.2 lb cada una. Este producto no solo es perfecto para picar entre horas, sino que también es una opción popular para quienes buscan alternativas saludables. Atrae a tus clientes con esta opción de compra por impulso, garantizando una rotación rápida y un margen atractivo para tu tienda. ¡Tus ventas lo agradecerán!","Zanahoria baby congelada, presentada en bolsa de 22.04 lb, ideal para uso en cocina y preparación de alimentos. Producto IQF, conserva frescura y nutrientes, apta para diversas recetas y dietas.",zanahoria|baby carrot,ACTUALIZAR
89090096,Acai Berry Cubes Tropical 17.6 lb (No Sugar),"¡Descubre el frescor exótico de los Acai Berry Cubes Tropical, sin azúcar! Este irresistible producto destaca por su sabor único y su tendencia saludable, perfecto para captar la atención de tus clientes. Presentado en un práctico formato de 17.6 lb, estos cubos son ideales para reventas rápidas en kioscos y almacenes. Su atractivo para el público amante de lo saludable garantiza una alta rotación, impulsando las compras por impulso y ofreciendo un excelente margen de ganancia. ¡Agrégalo a tu mostrador y observa cómo vuelan!","Cubes de açaí tropical sin azúcar, presentados en un empaque de 17.6 lb, ideales para preparar sorbetes o batidos. Producto de estilo brasileño, con un sabor característico que combina notas de frambuesa y mora.",cubos de açaí|açaí|sorbet de açaí,ACTUALIZAR
89090101,Blue diamond Sorbet SP,"Descubre el irresistible Blue Diamond Sorbet SP, el postre que conquistará a tus clientes con su frescura y sabor frutal. Presentado en un práctico formato de 12 displays de 24 unidades, este sorbete es perfecto para mantener en tu kiosco o almacén. Su atractivo visual y delicioso sabor lo convierten en una opción ideal para compras por impulso, asegurando una rápida rotación y altos márgenes de ganancia. ¡Ofrece a tus clientes una experiencia refrescante que querrán repetir!","Sorbet de Blue Diamond, elaborado a base de frutas naturales, presentado en formato de 5 lb, ideal para postres y helados. Producto sin gluten y sin lácteos, apto para dietas veganas.",sorbete|helado|sorbete de frutas,ACTUALIZAR
89090063,Soup Mix 22 lb,"¡Descubre el sabor irresistible de Soup Mix! Perfecto para quienes buscan una opción rápida y deliciosa, este producto se presenta en un formato de 22 lb, ideal para abastecer tu negocio. Con su mezcla de ingredientes frescos, atraerás a clientes que buscan calidad y conveniencia. Además, su fácil preparación lo convierte en un éxito de ventas, fomentando la compra por impulso. Aumenta tu rentabilidad con un margen atractivo y satisface a un público amplio que valora una buena comida. ¡No te quedes sin él!","Mezcla congelada de vegetales para sopa (Soup Mix), presentación de 22 lb, IQF, ideal para preparaciones de sopas y caldos en cocina industrial.",soup mix|mezcla para sopa|vegetales para sopa,ACTUALIZAR
89090015,CAULIFLOWER frozen IQF 15 lb,"¡Descubre la revolución del sabor saludable con nuestro Cauliflower Frozen IQF de 15 lb! Este producto premium, elaborado con coliflor fresca y congelada individualmente, es ideal para preparar platillos nutritivos y deliciosos. Cada caja contiene 15 lb, perfecta para abastecer tu negocio. Con un excelente margen de ganancia y un alto potencial de compra por impulso, atraerás a un público consciente de la salud. ¡No dejes pasar la oportunidad de ofrecer este producto versátil y en tendencia en tu mostrador!","Coliflor congelada IQF en presentación de 15 lb, procesada para mantener frescura y nutrientes, ideal para uso en restaurantes y servicios de catering. Marca no especificada.",coliflor|floretes de coliflor,ACTUALIZAR
74987455853,Celery 10x10 frozen IQF,"Descubre el sabor fresco y crujiente del Celery 10x10 Frozen IQF, ideal para ensaladas y platillos saludables. Este formato incluye 10 bolsas de 1 kg, perfectas para mantener la frescura y calidad del producto. Su conveniente presentación permite una fácil manipulación y almacenamiento. Al tener este apuesto celery en tu mostrador, atraerás a los consumidores que buscan opciones saludables y rápidas, asegurando una alta rotación y un excelente margen de ganancias. ¡No dejes pasar esta oportunidad!","Apio congelado IQF en presentación de 10x10, procesado mediante congelación rápida para preservar sabor, textura y nutrientes. Ideal para su uso en sopas, guisos y ensaladas.",apio|celery,ACTUALIZAR
736952201805,Pineapple chunk frozen 22.04 lb C,"Descubre el irresistible sabor tropical de nuestros Pineapple Chunks Frozen, un producto que atraerá a tus clientes y elevará tus ventas. Presentados en un formato práctico de 22.04 lb, ideales para reabastecer tu negocio con facilidad. Este delicioso y versátil producto es perfecto para smoothies, postres o snacks, garantizando una compra por impulso. Con un atractivo margen de ganancia, tus clientes volverán por más, convirtiendo cada bocado en una experiencia memorable. ¡No dejes pasar esta oportunidad!","Trozos de piña congelados IQF, presentación de 22.04 lb, pre-cortados para batidos, postres y preparaciones tropicales.",piña|trozos de piña|chunks de piña|pineapple chunk,ACTUALIZAR
858000004746,PASSION FRUIT TROPICAL Sorbet 3 gal,"Descubre el irresistible sabor del PASSION FRUIT TROPICAL Sorbet, una explosión de frescura que encantará a tus clientes. Presentado en un formato de 3 galones, es perfecto para satisfacer antojos y deleitar paladares. Este sorbete es ideal para el verano y eventos, garantizando una alta rotación en tu kiosco o almacén. Con un atractivo margen de ganancia, atraerás a un público diverso que busca opciones refrescantes y deliciosas. ¡No dejes pasar la oportunidad de aumentar tus ventas!","Sorbet de maracuyá tropical de 3 galones, elaborado con pulpa de maracuyá orgánica y jugo de acerola orgánico, rico en antioxidantes y vitamina C, con un color amarillo brillante y textura suave.",sorbete de maracuyá|sorbete de fruta de la pasión|sorbete tropical,ACTUALIZAR
736952201720,"Pineapple Chunk frozen 0,75lb BENFRESH","Descubre la explosión de sabor tropical con Pineapple Chunk frozen de BENFRESH, la opción perfecta para refrescar tus días. Cada presentación incluye 12 paquetes de 0,75 lb, ideales para ofrecer a tus clientes en cualquier momento. Su jugosidad y dulzura natural son irresistibles, convirtiéndolos en un excelente snack para toda la familia. Al tenerlos en tu mostrador, fomentas compras por impulso, asegurando un margen atractivo y una rotación rápida, atrayendo a un público que busca calidad y frescura. ¡No te quedes sin ellos!","Trozos de piña congelada de 0,75 lb, marca Benfresh, procesados mediante IQF para preservar frescura. Ideal para smoothies, postres y diversas preparaciones culinarias.",piña|trozos de piña|chunks de piña,ACTUALIZAR
